Country,Gini_Pre,Gini_Post,Gini_Diff,Group
VEN,2.62354240896037e-15,0.0015360910276138804,0.0015360910276112569,3
HUN,1.522591576628786e-15,0.0029673063255146524,0.0029673063255131298,3
MOZ,1.3219399735071631e-15,0.003860887400838523,0.003860887400837201,3
ZMB,1.1121538472766786e-15,0.004328839946837255,0.0043288399468361435,3
HRV,8.98710179617518e-16,0.0009871649015032542,0.0009871649015023554,3
OMN,4.633974363652827e-16,0.010750119445771813,0.01075011944577135,3
RWA,3.552713678800501e-16,0.016384180790960438,0.016384180790960084,3
DJI,3.383536836952858e-16,0.023228803716608445,0.023228803716608105,3
BIH,1.9737298215558337e-16,0.026984126984126888,0.02698412698412669,3
AZE,1.7988423690129118e-16,0.006288801096509195,0.006288801096509015,3
LUX,1.7763568394002506e-16,0.047368421052631504,0.047368421052631324,3
TZA,1.652424966883954e-16,0.0028985015933282216,0.0028985015933280563,3
LVA,1.3664283380001927e-16,0.018853695324283357,0.018853695324283222,3
COD,1.3664283380001927e-16,0.03692307692307682,0.036923076923076684,3
NIC,0.0,0.003584136301069545,0.003584136301069545,3
GEO,0.0,0.0071934835501963335,0.0071934835501963335,3
LBN,-1.1842378929335003e-16,0.016384180790960202,0.01638418079096032,3
JOR,-1.3664283380001927e-16,0.009522031366692283,0.00952203136669242,3
BWA,-2.3684757858670006e-16,0.016384180790960438,0.016384180790960674,3
LTU,-3.0235861096174475e-16,0.01052390757263749,0.010523907572637792,3
MAR,-3.9474596431116675e-16,0.009172724125995223,0.009172724125995619,3
CIV,-4.306319610667274e-16,0.014918414918415297,0.014918414918415727,3
MMR,-4.511382449270477e-16,0.007873015873015683,0.007873015873016134,3
SEN,-4.736951571734001e-16,0.010986267166042138,0.010986267166042611,3
SVK,-5.396527107038736e-16,0.006288801096509195,0.006288801096509734,3
UGA,-1.0272907023037593e-15,0.0030029483492891623,0.0030029483492901897,3
SVN,-1.397788988380525e-15,0.00272475484692041,0.0027247548469218077,3
DOM,-1.4669269383434326e-15,0.0032153669485314967,0.003215366948532964,3
EST,-1.5554169340022094e-15,0.002481358792077324,0.0024813587920788794,3
IRN,-3.745496591603629e-15,0.0019342214194318962,0.0019342214194356417,3
DZA,-2.2661322836817107e-14,0.00033433626752421363,0.000334336267546875,3
KEN,0.025257948676253552,0.017693083366173142,-0.00756486531008041,2
POL,0.024042075413204824,0.0186505755562567,-0.0053914998569481246,2
CRI,0.018115319072154638,0.018127331916233988,1.2012844079350299e-05,2
SAU,0.018009493647499406,0.015194127818569677,-0.002815365828929729,2
BGD,0.017026396910530095,0.023149960359184263,0.006123563448654168,2
ARG,0.01608280770206495,0.012081864105604986,-0.004000943596459963,2
THA,0.013554908600151867,0.01192373060474035,-0.0016311779954115164,2
PER,0.010180049097090934,0.005128143564596363,-0.005051905532494572,2
MEX,0.010048557989402754,0.007331572973566827,-0.002716985015835927,2
SRB,0.008735275658084771,0.00619982859572976,-0.0025354470623550115,2
VNM,0.008441547976962902,0.007828769855399036,-0.0006127781215638662,2
AUT,0.00837553046161423,0.015772041043471,0.007396510581856771,2
PRT,0.006607653906216125,0.007171575414541432,0.0005639215083253065,2
COL,0.0058720655755137175,0.004283693004985241,-0.0015883725705284762,2
BRA,0.005473201942385917,0.004444911744712791,-0.0010282901976731264,2
GHA,0.005331667086663463,0.0038416363654208067,-0.0014900307212426561,2
SLV,0.0048058857180752245,0.0037684275572106977,-0.0010374581608645268,2
TUR,0.0040399495553108235,0.0029884349090361904,-0.0010515146462746331,2
KHM,0.0038214747788697873,0.0049354191713758995,0.0011139443925061122,2
PHL,0.003578446414513022,0.003121651801699295,-0.0004567946128137268,2
NGA,0.003294376552527281,0.002295963766622643,-0.0009984127859046384,2
BGR,0.003250019201107383,0.00570272546356041,0.002452706262453027,2
RUS,0.0030948577669714632,0.0020695333849249844,-0.0010253243820464789,2
UKR,0.003046444126897484,0.0016609043218071507,-0.0013855398050903332,2
EGY,0.002746209370530495,0.0046298770229374064,0.0018836676524069114,2
PAN,0.0018745238449109185,0.012828625899238666,0.010954102054327747,2
GTM,0.0013978551612052923,0.0028188418981020627,0.0014209867368967703,2
ROU,0.0006765319676369956,0.0003405986992853145,-0.00033593326835168106,2
ECU,0.00024186540946493035,0.004525253770855448,0.004283388361390517,2
TUN,3.8044807898966e-15,0.001964621286243267,0.0019646212862394624,2
HND,2.9001744316738784e-15,0.0016977830314389081,0.001697783031436008,2
GBR,0.44584414082083007,0.3735302732084684,-0.07231386761236169,1
BEL,0.31125356668612203,0.3510384524252175,0.039784885739095444,1
CHN,0.2827580981326842,0.2637455369269896,-0.01901256120569461,1
FIN,0.23951795413750585,0.17497170147198018,-0.06454625266552566,1
NLD,0.21903735436172148,0.16851903750677755,-0.05051831685494393,1
FRA,0.20262870173298664,0.18830266604629134,-0.014326035686695299,1
ESP,0.17974477291972862,0.16007199150911983,-0.019672781410608797,1
GRC,0.16905003984453057,0.13231430848258885,-0.03673573136194172,1
USA,0.16062386806799528,0.12429778887288974,-0.03632607919510554,1
DEU,0.13233010831490932,0.10152286876766668,-0.03080723954724264,1
AUS,0.1226443959655043,0.09746170129071262,-0.025182694674791686,1
CHL,0.12207296950730079,0.09111932143074662,-0.030953648076554166,1
DNK,0.10934404524822579,0.0857100149821665,-0.023634030266059286,1
CAN,0.1086108239493702,0.08941165174424504,-0.019199172205125167,1
ITA,0.083826155231435,0.08241097317992088,-0.0014151820515141134,1
KOR,0.07547754854064971,0.06779322442907189,-0.007684324111577823,1
MYS,0.07442731312111275,0.053218405749079906,-0.021208907372032848,1
CZE,0.07039271076667242,0.0560715141892129,-0.014321196577459519,1
ISL,0.06480279814178704,0.04189327954434781,-0.022909518597439227,1
ZAF,0.06211853363348328,0.06906760497349723,0.006949071340013949,1
PAK,0.05884920384655009,0.033233537127663006,-0.025615666718887084,1
CHE,0.055728115440447853,0.048215040217494884,-0.00751307522295297,1
SWE,0.05124344744239921,0.0409252809055967,-0.010318166536802509,1
IND,0.04017475962827911,0.03047820157198614,-0.009696558056292968,1
NOR,0.03711690868815241,0.026133546667819228,-0.01098336202033318,1
NZL,0.03561555730990156,0.030051505541366562,-0.005564051768535,1
JPN,0.03438800560897855,0.025748783803897748,-0.0086392218050808,1
MLT,0.029531165735335426,0.022961767111171892,-0.006569398624163534,1
ARE,0.027835307900328975,0.022018939494898405,-0.00581636840543057,1
IDN,0.0273885649411097,0.023430444925940437,-0.003958120015169264,1
IRL,0.026849459972676133,0.03319915719011433,0.006349697217438194,1
ISR,,,,
SGP,,,,
QAT,,,,
URY,,,,
CYP,,,,
